names,atom_pos,atoms,water_counts
1488,"[2.025  1.9585 9.6148 1.9277 1.9432 9.6317 2.0788 1.8937 9.6687 2.0836
 1.9091 9.3454 2.0989 2.0056 9.3242 2.0667 1.8988 9.4434]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
319,"[2.0747 1.9831 9.6548 2.0658 1.9063 9.7181 2.0865 2.0679 9.7065 1.9826
 1.9802 9.4008 2.0171 1.8949 9.3617 2.0206 1.9926 9.4925]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1639,"[2.0814 1.945  9.628  2.1238 2.0355 9.6293 2.1354 1.8821 9.6839 1.9642
 1.9835 9.3734 1.9925 2.0665 9.3255 2.0144 1.976  9.4596]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
294,"[1.9992 2.0546 9.6271 1.9341 2.051  9.7029 2.0449 1.9661 9.6181 1.9557
 2.0505 9.3458 1.9549 2.081  9.4411 1.9782 1.9531 9.3422]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1353,"[2.0199 1.984  9.3721 1.9879 2.0105 9.4631 1.9579 1.9156 9.3337 1.9791
 2.0335 9.6292 1.893  2.0291 9.6797 2.0312 2.1136 9.659 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
303,"[2.097  1.912  9.6636 2.0167 1.956  9.7038 2.0815 1.8134 9.6575 2.0184
 1.889  9.3814 2.0868 1.9042 9.3101 2.0591 1.9067 9.471 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
396,"[1.9997 2.0386 9.638  1.9293 2.0776 9.6974 2.09   2.0653 9.6715 2.0358
 1.9386 9.3637 1.9968 1.9641 9.4522 1.9878 1.8584 9.328 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
667,"[1.9374 1.9402 9.646  1.9058 1.901  9.7324 1.951  2.0386 9.657  2.0236
 1.9028 9.3571 1.9601 1.8876 9.2814 1.9751 1.8926 9.4439]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1961,"[2.0885 1.9721 9.3079 2.0674 1.9557 9.4043 2.1129 2.0683 9.2951 2.0555
 1.9654 9.5899 2.1493 1.9585 9.6239 1.9919 1.9621 9.667 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
462,"[2.004  1.8967 9.3468 1.9877 1.8697 9.4417 1.9342 1.8558 9.2881 1.9844
 1.9137 9.6204 1.9893 2.0133 9.6127 1.9025 1.8882 9.6719]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1542,"[1.9847 1.9026 9.6167 1.9423 1.9655 9.6819 1.9309 1.8184 9.6118 1.9671
 2.0033 9.3662 1.9792 1.9548 9.4528 2.053  2.0021 9.315 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1989,"[1.9981 1.9857 9.6087 2.0158 2.0819 9.6294 1.9265 1.9511 9.6694 2.0058
 1.9202 9.3354 2.0174 1.917  9.4347 2.0934 1.9417 9.2923]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
317,"[1.9652 1.9705 9.6435 1.9812 2.0439 9.7095 1.8693 1.9423 9.6475 2.0124
 1.9701 9.3254 1.9516 2.0115 9.2577 1.9815 1.9945 9.4173]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1391,"[2.0369 1.881  9.5666 2.0162 1.8322 9.6513 2.1015 1.8274 9.5122 1.999
 2.0584 9.3692 1.9919 1.9864 9.4381 1.9562 2.142  9.4037]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
